location,lat,lon,date_time,path_image,cbh,hcc,lcc,mcc,tcc
albentosa,40.102506,-0.769744,2023-03-21 13:01:01,..\..\resources\images_ibericam\albentosa-20230321-130101.jpg,[nan nan nan nan nan nan nan nan nan nan nan nan],0.9605408,0.0,0.0,0.9605408
albentosa,40.102506,-0.769744,2023-03-21 13:02:01,..\..\resources\images_ibericam\albentosa-20230321-130201.jpg,[nan nan nan nan nan nan nan nan nan nan nan nan],0.9605408,0.0,0.0,0.9605408
albentosa,40.102506,-0.769744,2023-03-21 13:03:01,..\..\resources\images_ibericam\albentosa-20230321-130301.jpg,[nan nan nan nan nan nan nan nan nan nan nan nan],0.9605408,0.0,0.0,0.9605408
albentosa,40.102506,-0.769744,2023-03-21 13:04:01,..\..\resources\images_ibericam\albentosa-20230321-130401.jpg,[nan nan nan nan nan nan nan nan nan nan nan nan],0.9605408,0.0,0.0,0.9605408
albentosa,40.102506,-0.769744,2023-03-21 13:05:01,..\..\resources\images_ibericam\albentosa-20230321-130501.jpg,[nan nan nan nan nan nan nan nan nan nan nan nan],0.9605408,0.0,0.0,0.9605408
albentosa,40.102506,-0.769744,2023-03-22 13:01:01,..\..\resources\images_ibericam\albentosa-20230322-130101.jpg,"[6309.867  6548.118  6550.111  6915.372  6924.393  6930.146  7174.666
 7648.418  7418.4263 7371.7046 7191.486  7115.4766]",0.3934021,0.0,0.0,0.3934021
albentosa,40.102506,-0.769744,2023-03-22 13:02:01,..\..\resources\images_ibericam\albentosa-20230322-130201.jpg,"[6309.867  6548.118  6550.111  6915.372  6924.393  6930.146  7174.666
 7648.418  7418.4263 7371.7046 7191.486  7115.4766]",0.3934021,0.0,0.0,0.3934021
albentosa,40.102506,-0.769744,2023-03-22 13:03:01,..\..\resources\images_ibericam\albentosa-20230322-130301.jpg,"[6309.867  6548.118  6550.111  6915.372  6924.393  6930.146  7174.666
 7648.418  7418.4263 7371.7046 7191.486  7115.4766]",0.3934021,0.0,0.0,0.3934021
albentosa,40.102506,-0.769744,2023-03-22 13:04:01,..\..\resources\images_ibericam\albentosa-20230322-130401.jpg,"[6309.867  6548.118  6550.111  6915.372  6924.393  6930.146  7174.666
 7648.418  7418.4263 7371.7046 7191.486  7115.4766]",0.3934021,0.0,0.0,0.3934021
albentosa,40.102506,-0.769744,2023-03-22 13:05:01,..\..\resources\images_ibericam\albentosa-20230322-130501.jpg,"[6309.867  6548.118  6550.111  6915.372  6924.393  6930.146  7174.666
 7648.418  7418.4263 7371.7046 7191.486  7115.4766]",0.3934021,0.0,0.0,0.3934021
albentosa,40.102506,-0.769744,2023-03-23 13:01:01,..\..\resources\images_ibericam\albentosa-20230323-130101.jpg,"[8440.257  7037.9697 5921.4497 5241.958  5230.468  5777.2476       nan
       nan       nan       nan 7454.863  5840.1553]",0.004058838,0.0,0.0,0.004058838
albentosa,40.102506,-0.769744,2023-03-23 13:02:01,..\..\resources\images_ibericam\albentosa-20230323-130201.jpg,"[8440.257  7037.9697 5921.4497 5241.958  5230.468  5777.2476       nan
       nan       nan       nan 7454.863  5840.1553]",0.004058838,0.0,0.0,0.004058838
albentosa,40.102506,-0.769744,2023-03-23 13:03:01,..\..\resources\images_ibericam\albentosa-20230323-130301.jpg,"[8440.257  7037.9697 5921.4497 5241.958  5230.468  5777.2476       nan
       nan       nan       nan 7454.863  5840.1553]",0.004058838,0.0,0.0,0.004058838
albentosa,40.102506,-0.769744,2023-03-23 13:04:01,..\..\resources\images_ibericam\albentosa-20230323-130401.jpg,"[8440.257  7037.9697 5921.4497 5241.958  5230.468  5777.2476       nan
       nan       nan       nan 7454.863  5840.1553]",0.004058838,0.0,0.0,0.004058838
albentosa,40.102506,-0.769744,2023-03-23 13:05:01,..\..\resources\images_ibericam\albentosa-20230323-130501.jpg,"[8440.257  7037.9697 5921.4497 5241.958  5230.468  5777.2476       nan
       nan       nan       nan 7454.863  5840.1553]",0.004058838,0.0,0.0,0.004058838
albentosa,40.102506,-0.769744,2023-03-24 13:01:01,..\..\resources\images_ibericam\albentosa-20230324-130101.jpg,"[       nan        nan        nan        nan        nan        nan
        nan 123.921036  77.443375  52.966736 132.73833   77.01117 ]",0.997406,0.0,0.9116516,0.99832153
